date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:35	17447/17447	---M--	200	added ('OK')	text/javascript	date:Thu,%2009%20Feb%202023%2022:53:35%20GMT	https://www.blogger.com/static/v1/jsbin/3469866930-comment_from_post_iframe.js	C:/Meus%20Sites/s/www.blogger.com/static/v1/jsbin/3469866930-comment_from_post_iframe.js	(from https://cursosfree7.blogspot.com/2023/02/curso-de-dropship-f15d-luciano-augusto.html)
14:04:35	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.19.delayed	(from https://cursosfree7.blogspot.com/2023/02/curso-de-dropship-f15d-luciano-augusto.html)
14:04:36	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.1a.delayed	(from https://cursosfree7.blogspot.com/search/label/cursos)
14:04:36	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.1b.delayed	(from https://cursosfree7.blogspot.com/2023/02/minecraft-pe-apk.html)
14:04:36	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.1c.delayed	(from https://cursosfree7.blogspot.com/2023/02/minecraft-pe-apk.html)
14:04:36	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.1d.delayed	(from https://cursosfree7.blogspot.com/search/label/apks)
14:04:37	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.1f.delayed	(from https://cursosfree7.blogspot.com/2023/02/design-de-personagens-para-animacao.html)
14:04:38	12301/12301	---M--	200	added ('OK')	image/png	etag:%22v367c%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh_fKTN_k8G4OZDl-vhd2Ix3AQ49iIrzzEcQ2NtpxylYxZmlN3-j2FuE3Ezyvzm3vhxAIWYgUVMmKe76aoVVuH5vJO2byI9GvRoTjJjfE0dV3E4GQl20LTmOBP5RBD7437Ru2NAD7LRnEY8TeIxAkFpVi0xTck8dC8wz8ZFPiC8ahuCW00FZYF0t21ZyQ/s320/imagem_2023-02-11_103750007.png	C:/Meus%20Sites/s/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh_fKTN_k8G4OZDl-vhd2Ix3AQ49iIrzzEcQ2Ntpxy/s320/imagem_2023-02-11_103750007.png	(from https://cursosfree7.blogspot.com/2023/02/design-de-personagens-para-animacao.html)
14:04:39	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.21.delayed	(from https://cursosfree7.blogspot.com/2023/02/design-de-personagens-para-animacao.html)
14:04:39	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.22.delayed	(from https://cursosfree7.blogspot.com/search/label/domestika)
14:04:39	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.23.delayed	(from https://cursosfree7.blogspot.com/search/label/jogos)
14:04:39	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.24.delayed	(from https://cursosfree7.blogspot.com/search/label/Marcador1)
14:04:39	106786/106786	---M--	200	added ('OK')	image/png	etag:%22v367c%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh_fKTN_k8G4OZDl-vhd2Ix3AQ49iIrzzEcQ2NtpxylYxZmlN3-j2FuE3Ezyvzm3vhxAIWYgUVMmKe76aoVVuH5vJO2byI9GvRoTjJjfE0dV3E4GQl20LTmOBP5RBD7437Ru2NAD7LRnEY8TeIxAkFpVi0xTck8dC8wz8ZFPiC8ahuCW00FZYF0t21ZyQ/s1200/imagem_2023-02-11_103750007.png	C:/Meus%20Sites/s/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh_fKTN_k8G4OZDl-vhd2Ix3AQ49iIrzzEcQ2Ntpxy/s1200/imagem_2023-02-11_103750007.png	(from https://cursosfree7.blogspot.com/2023/02/design-de-personagens-para-animacao.html)
